ticker,mu_annual,sigma_annual,sharpe_naive
AAPL,0.2435392,0.30479282,0.6349861
MSFT,0.1997832,0.28523204,0.5251276
NVDA,0.45154196,0.50655574,0.7926906
GOOGL,0.23592252,0.3095085,0.60070246
AVGO,0.3559516,0.41274372,0.74126285
AMD,0.44845304,0.5563058,0.71624815
ORCL,0.18430412,0.36116645,0.3718621
ADBE,0.038275953,0.3634992,-0.032253295
JPM,0.15201621,0.2879685,0.35426173
V,0.13324402,0.25832847,0.322241
MA,0.14778894,0.28481415,0.343343
BAC,0.08883604,0.31758592,0.122285135
GS,0.1843988,0.31055787,0.43276572
MS,0.19117077,0.3265737,0.43227845
BLK,0.11374493,0.29324648,0.21737663
AXP,0.15082267,0.33595905,0.30010405
UNH,0.083568506,0.32750967,0.10249623
LLY,0.31734377,0.31634328,0.8451065
JNJ,0.08958309,0.19495128,0.20304093
PFE,0.0119128795,0.25267422,-0.15073608
TMO,0.10340203,0.27499744,0.19419101
AMZN,0.17926364,0.34210053,0.3778528
HD,0.08497466,0.26551017,0.13172625
MCD,0.08147541,0.21435252,0.14683944
NKE,-0.028985083,0.34138227,-0.23136844
PG,0.08276156,0.20004645,0.16376977
KO,0.100164294,0.19288324,0.26007593
WMT,0.17087172,0.2250669,0.5370479
XOM,0.11706676,0.3018297,0.22220066
CVX,0.09204138,0.31315422,0.13425136
TPL,0.26053733,0.49162868,0.42824462
SLB,0.00499369,0.4358326,-0.10326514
MPC,0.1903201,0.4251162,0.3300747
RTX,0.11727111,0.2962792,0.22705312
LMT,0.08775579,0.25248823,0.14953485
NOC,0.0875729,0.27066302,0.13881801
GD,0.086905174,0.23939875,0.15415774
BA,-0.030589368,0.44723275,-0.18019558
HON,0.0802812,0.24938725,0.12142239
CAT,0.2274167,0.32256293,0.55002195
DE,0.15908869,0.31774446,0.34332207
UPS,0.01601804,0.29416677,-0.11551937
NFLX,0.17729226,0.43724832,0.2911212
TMUS,0.13562357,0.26456875,0.3236345
DIS,-0.0036850937,0.30680695,-0.17498004
NEE,0.12331777,0.2709098,0.27063537
AEP,0.107120015,0.22080138,0.25869408
AMT,0.057306677,0.27481848,0.026587281
PLD,0.1259781,0.2844142,0.2671389
